,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
121,30.0,24.0,31.0,62.0,21.0,29.0,38.0,38.0,32.0,31.0,43.0,36.0,35.0,32.0,27.0,30.0,32.0
122,27.0,26.0,34.0,46.0,33.0,32.0,42.0,47.0,40.0,38.0,41.0,33.0,41.0,45.0,39.0,35.0,38.0
123,33.0,35.0,33.0,35.0,31.0,41.0,41.0,40.0,52.0,47.0,41.0,40.0,44.0,34.0,48.0,40.0,37.0
124,36.0,34.0,25.0,34.0,29.0,38.0,43.0,42.0,42.0,26.0,40.0,43.0,44.0,46.0,47.0,44.0,43.0
125,38.0,38.0,41.0,28.0,24.0,38.0,32.0,30.0,42.0,41.0,51.0,30.0,40.0,31.0,32.0,38.0,28.0
126,44.0,41.0,45.0,45.0,40.0,41.0,42.0,40.0,37.0,48.0,41.0,28.0,48.0,36.0,41.0,34.0,34.0
127,40.0,36.0,33.0,33.0,48.0,43.0,41.0,43.0,48.0,48.0,40.0,48.0,43.0,43.0,52.0,48.0,42.0
128,42.0,37.0,27.0,39.0,37.0,41.0,42.0,43.0,47.0,45.0,35.0,49.0,43.0,42.0,45.0,39.0,45.0
129,35.0,31.0,31.0,33.0,31.0,33.0,35.0,34.0,34.0,35.0,37.0,35.0,37.0,27.0,42.0,46.0,39.0
130,38.0,39.0,42.0,36.0,31.0,38.0,38.0,33.0,39.0,32.0,38.0,39.0,43.0,43.0,46.0,38.0,27.0
131,39.0,30.0,33.0,33.0,39.0,42.0,39.0,40.0,40.0,35.0,41.0,48.0,40.0,41.0,28.0,41.0,35.0
132,34.0,28.0,29.0,40.0,32.0,33.0,29.0,32.0,41.0,46.0,27.0,49.0,41.0,36.0,43.0,39.0,34.0
133,35.0,35.0,30.0,29.0,44.0,37.0,37.0,31.0,42.0,35.0,33.0,31.0,33.0,40.0,32.0,29.0,42.0
134,33.0,38.0,39.0,42.0,37.0,29.0,34.0,33.0,29.0,24.0,47.0,41.0,52.0,44.0,30.0,41.0,29.0
135,29.0,34.0,24.0,34.0,28.0,29.0,37.0,30.0,37.0,33.0,31.0,35.0,44.0,41.0,33.0,31.0,34.0
136,32.0,32.0,33.0,44.0,35.0,40.0,39.0,42.0,40.0,39.0,39.0,52.0,40.0,49.0,45.0,48.0,43.0
137,33.0,38.0,25.0,25.0,34.0,38.0,36.0,34.0,34.0,39.0,43.0,41.0,33.0,44.0,38.0,29.0,31.0
138,26.0,36.0,44.0,39.0,45.0,41.0,36.0,37.0,39.0,44.0,38.0,44.0,34.0,40.0,38.0,56.0,34.0
139,31.0,39.0,32.0,42.0,31.0,42.0,45.0,40.0,47.0,46.0,36.0,37.0,31.0,53.0,39.0,42.0,44.0
140,35.0,43.0,35.0,43.0,41.0,38.0,46.0,43.0,40.0,26.0,35.0,37.0,40.0,41.0,39.0,48.0,40.0
141,29.0,34.0,22.0,20.0,36.0,31.0,51.0,31.0,38.0,37.0,39.0,42.0,38.0,34.0,35.0,36.0,31.0
142,33.0,26.0,28.0,29.0,31.0,34.0,26.0,29.0,34.0,30.0,34.0,31.0,48.0,35.0,33.0,43.0,39.0
143,20.0,32.0,24.0,25.0,34.0,36.0,27.0,35.0,39.0,47.0,36.0,46.0,44.0,26.0,35.0,32.0,27.0
144,24.0,31.0,28.0,30.0,30.0,32.0,41.0,39.0,30.0,38.0,39.0,33.0,43.0,35.0,27.0,34.0,25.0
145,28.0,25.0,33.0,31.0,22.0,22.0,31.0,34.0,34.0,30.0,31.0,32.0,36.0,29.0,33.0,37.0,34.0
146,36.0,31.0,33.0,39.0,41.0,32.0,32.0,47.0,36.0,47.0,35.0,39.0,38.0,34.0,33.0,40.0,43.0
147,32.0,38.0,40.0,36.0,38.0,35.0,43.0,31.0,39.0,46.0,34.0,36.0,42.0,46.0,27.0,37.0,40.0
148,33.0,32.0,30.0,36.0,27.0,38.0,39.0,47.0,45.0,43.0,33.0,34.0,41.0,50.0,39.0,36.0,31.0
149,23.0,34.0,30.0,34.0,36.0,30.0,30.0,26.0,29.0,32.0,38.0,28.0,33.0,27.0,29.0,29.0,37.0
150,43.0,29.0,36.0,41.0,34.0,26.0,38.0,44.0,30.0,45.0,36.0,33.0,41.0,33.0,34.0,31.0,36.0
151,38.0,42.0,38.0,37.0,26.0,33.0,18.0,45.0,34.0,35.0,34.0,34.0,33.0,36.0,33.0,43.0,24.0
152,35.0,40.0,32.0,38.0,38.0,36.0,45.0,34.0,39.0,39.0,27.0,32.0,38.0,38.0,39.0,30.0,35.0
153,34.0,27.0,33.0,26.0,44.0,27.0,38.0,29.0,44.0,30.0,30.0,28.0,26.0,43.0,40.0,34.0,27.0
154,38.0,35.0,37.0,36.0,35.0,24.0,34.0,33.0,46.0,47.0,31.0,22.0,18.0,30.0,34.0,33.0,29.0
155,26.0,26.0,36.0,38.0,30.0,27.0,31.0,33.0,44.0,42.0,46.0,29.0,24.0,48.0,29.0,41.0,36.0
156,33.0,34.0,25.0,49.0,32.0,35.0,33.0,43.0,37.0,56.0,37.0,23.0,32.0,37.0,39.0,32.0,29.0
157,27.0,33.0,32.0,35.0,36.0,41.0,31.0,36.0,51.0,37.0,56.0,45.0,39.0,30.0,46.0,25.0,29.0
158,26.0,41.0,28.0,41.0,25.0,33.0,39.0,14.0,34.0,17.0,32.0,49.0,39.0,42.0,40.0,34.0,47.0
159,29.0,32.0,23.0,44.0,22.0,43.0,29.0,29.0,26.0,33.0,24.0,28.0,30.0,37.0,27.0,32.0,25.0
160,26.0,25.0,36.0,20.0,25.0,24.0,27.0,34.0,26.0,49.0,39.0,42.0,33.0,25.0,33.0,40.0,36.0
161,30.0,24.0,35.0,23.0,31.0,37.0,29.0,36.0,25.0,23.0,25.0,22.0,29.0,20.0,27.0,31.0,26.0
162,20.0,25.0,23.0,29.0,22.0,27.0,30.0,24.0,26.0,33.0,31.0,31.0,40.0,39.0,23.0,36.0,37.0
163,28.0,21.0,25.0,28.0,38.0,35.0,20.0,36.0,38.0,28.0,26.0,38.0,34.0,33.0,16.0,39.0,35.0
164,30.0,28.0,30.0,28.0,27.0,27.0,30.0,31.0,36.0,39.0,39.0,29.0,30.0,27.0,36.0,35.0,39.0
165,30.0,23.0,23.0,30.0,28.0,29.0,34.0,29.0,30.0,39.0,24.0,30.0,32.0,24.0,25.0,39.0,28.0
166,26.0,20.0,17.0,22.0,28.0,30.0,25.0,28.0,35.0,46.0,34.0,26.0,32.0,36.0,27.0,43.0,34.0
167,17.0,26.0,22.0,25.0,26.0,31.0,34.0,29.0,29.0,35.0,31.0,39.0,37.0,33.0,22.0,18.0,24.0
168,23.0,29.0,24.0,18.0,27.0,28.0,28.0,36.0,32.0,28.0,20.0,28.0,37.0,22.0,24.0,24.0,26.0
169,30.0,25.0,25.0,19.0,24.0,23.0,29.0,25.0,23.0,23.0,24.0,23.0,20.0,31.0,25.0,34.0,25.0
170,26.0,25.0,30.0,29.0,35.0,37.0,36.0,33.0,24.0,36.0,35.0,35.0,32.0,29.0,35.0,41.0,29.0
171,35.0,36.0,28.0,24.0,34.0,28.0,38.0,30.0,24.0,42.0,37.0,40.0,25.0,28.0,32.0,44.0,42.0
172,39.0,37.0,35.0,37.0,31.0,26.0,36.0,27.0,28.0,31.0,25.0,29.0,22.0,19.0,17.0,41.0,22.0
173,32.0,37.0,24.0,28.0,40.0,39.0,36.0,26.0,36.0,43.0,39.0,28.0,36.0,39.0,44.0,38.0,36.0
174,22.0,32.0,30.0,33.0,23.0,31.0,33.0,22.0,36.0,34.0,34.0,38.0,35.0,33.0,30.0,44.0,27.0
