,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
182,15,14,22,18,17,16,20,16,17,13,14,18,18,21,21,13,13,15,18,16,19,19,18,18,16,15,22,18,17,20,15,16,19,19
183,15,15,22,18,18,17,19,16,17,13,13,18,18,21,21,13,13,16,18,16,19,19,19,19,16,15,22,18,16,20,15,16,19,18
184,15,15,21,17,18,17,19,15,16,13,13,17,18,21,20,12,14,17,18,16,18,19,19,20,16,14,22,17,16,20,14,16,18,17
185,14,15,20,18,19,17,19,16,16,13,14,16,18,20,20,13,15,17,18,15,18,18,19,20,17,15,21,17,17,20,13,16,17,18
186,14,16,20,19,19,18,19,17,16,12,14,16,19,20,20,13,16,17,18,14,19,18,19,20,17,16,21,17,18,20,14,16,17,18
187,15,16,19,19,18,17,19,17,15,13,14,16,19,20,20,12,16,18,18,15,19,17,18,19,17,17,20,18,18,20,13,17,17,18
188,15,16,19,19,18,17,19,16,15,12,13,16,20,20,21,13,15,19,18,16,19,17,18,19,16,18,19,17,18,19,13,17,17,18
189,15,16,18,20,18,17,19,16,15,13,13,16,20,21,21,12,15,19,19,16,18,16,17,20,17,19,19,16,17,18,13,16,16,18
190,14,16,18,19,18,16,20,16,15,13,14,16,20,21,21,13,14,19,19,15,18,15,17,19,18,20,18,17,17,19,13,17,16,18
191,14,15,18,19,17,16,20,15,15,14,14,16,20,21,20,12,14,19,19,16,17,16,17,18,18,20,18,18,16,19,14,16,15,18
192,14,16,18,18,17,17,20,16,15,15,15,16,19,21,21,11,15,20,19,16,17,16,17,17,18,20,17,19,16,18,14,15,16,19
193,15,16,18,17,17,17,20,17,15,15,15,16,18,21,20,12,15,20,19,16,17,15,17,16,18,20,17,18,16,18,13,16,17,20
194,15,16,17,17,17,18,21,18,15,16,15,16,18,21,20,11,15,21,19,16,18,14,17,16,18,19,17,17,16,17,12,17,17,19
